name1,score1,score2,name2
Dudin Gleb,0.5,0.5,Marzano Carlo
Vetokhin Ilia,0,1,Tarasov Oleg
Vasilyev Alexey,1,0,Pogorelskikh Sergey
Sibajeva Marija,0,1,Tsybikov Tumen
Yeritsyan Hayk,1,0,Atakishiyev Elmar
Ismagilov Damir,1,0,Pavlov Mark
Priyanka K,0.5,0.5,Ochirbat Lkhagvajamts
Ivanov Artem T.,1,0,Ufimtsev Egor
Buniatyan David,0.5,0.5,Vinogradov Vladimir
Ahmadov Orkhan,1,0,Averyanov Grigori
Vysotskiy Oleg,0,1,Vrtiakova Anna
Shuvalov Evgenij,0,1,Yangutov Aleksey
Lauda Alexandr,1,0,Mrykhin Igor
Larina Marija,0,1,Zavialov Nikita A.
Kirillov Dmitry,1,0,Burhanov Vassily
Khelemendik Roman,0.5,0.5,Sokolov Ilia
Nabaty Tamir,1,0,Urazayev Arystanbek
Shukh Nikolai,1,0,Savchenko Boris
Frolyanov Dmitry,0,1,Gaifullin Artur
Samusenko Maksim,1,0,Mozharov Mikhail
Bocharov Ivan,0.5,0.5,Fakhrutdinov Timur
Dvalishvili Pavel S.,0,1,Lomasov Semen
Ladva Ottomar,0,1,Afanasiev Nikita
Bykov Egor,0,1,Matinian Nikita
Drygalov Andrey,1,0,Bryakin Mikhail
Sindarov Javokhir,0.5,0.5,Mammadzada Gunay
Kokarev Dmitry,1,0,Rakshitta Ravi
Yeletsky Ivan,0,1,Vavulin Maksim
Muradli Mahammad,0.5,0.5,Timofeev Artyom
Palachev Petr,0.5,0.5,Levin Evgeny A.
Boruchovsky Avital,1,0,Kardashevskiy Evgeny
Tsydypov Zhamsaran,0.5,0.5,Korchmar Vasiliy
Vokhidov Shamsiddin,0.5,0.5,Sorokin Aleksey
Belyakov Bogdan,0.5,0.5,Gorbatov Alexej
Zakhartsov Vladimir,1,0,Naumkin Igor
Khanin Semen,0.5,0.5,Gukesh D
Hakobyan Hovhannes H.,0,1,Lobanov Sergei
Ushenina Anna,1,0,Sirosh Ilja
Kozionov Kirill,0,1,Li Hong
Babarykin Stanislav,0,1,Drygalov Sergey
Harutjunyan Gevorg,1,0,Barseghyan Armen Ar.
Khegay Dmitriy,1,0,Tran Minh Thang
Golubov Saveliy,1,0,Skatchkov Valery
Murtazin Ruslan,1,0,Shinkevich Vitaly
Smirnov Timofey,0.5,0.5,Ivanov Oleg V
Avalyan Artur,0.5,0.5,Baghdasaryan Vahe
Lesovoi Evgenij,0.5,0.5,Faizrakhmanov Ramil
Zakaryan David,0,1,Sawlin Leonid
Davtyan Artur,0.5,0.5,Kalashian David
Aleksanyan Hrant,0,1,Murtazin Bulat
Gubajdullin Alexei,1,0,Bykov Oleg
Taalaibekov Tagir,0.5,0.5,Salemgareev Tagir
Manafov Vugar,1,0,Geivondian Arman
Beletsky Alexey,1,0,Balajayeva Khanim
Schekachikhin Maksim,1,0,Ganerdene Sugar
Shoboev Dandar,0.5,0.5,Tsoi Dmitry
Malyshev Grigory,1,0,Cherenkov Andrey
Nigmatov Ortik,1,0,Perov German
Iljiushenok Ilia,1,0,Nazaretyan Tigran
Usmanov Vasily,1,0,Rozhkov Viacheslav
Konaplev Anton,0.5,0.5,Oganian Miran
Murzin Volodar,1,0,Savenkov Konstantin
Yuferov Sergey N,0.5,0.5,Korennoi Viktor
Nozdrachev Leonid,1,0,Matyunin Maxim
Tugarin Anton,0.5,0.5,Kukhmazov Arsen
Sanzhaev Darsen,1,0,Suleymanli Aydin
Primbetov Kazbek,1,0,Mischuk Dmitry
Assaubayeva Bibisara,0.5,0.5,Geshko Aleksey
Sattarov Bobir,1,0,Zherebtsova Alexandra
Garayev Kanan,0.5,0.5,Saiyn Zhanat
Gurvich Vitaly,0.5,0.5,Mukhutdinov Tigran
Fitiak Sergey,1,0,Saveliev Alexei
Kesidis Odyseas,0,1,Karpenko Artem
Cherepanov Vladislav,0.5,0.5,Rozanov Pavel B.
Saydaliev Saidakbar,0.5,0.5,Mamatov Melis
Skorodelov Semen,0,1,Zubkov Vsevolod
Shaydullina Sandugach,0,1,Erdenepurev Boldoo
Shapiro David,0,1,Golikov Daniil
Ivanov Platon-Jaan,0,1,Sakulo Denis
Pogosyan Stefan,0.5,0.5,Kretov Evgenij
Fedotov Alexey,0,1,Yeritsyan Aram
Gavrilin Roman,0,1,Rodchenkov Vitaly
Uraev Ivan,0.5,0.5,Kavyev Ruslan
Shubin Kirill,1,0,Chernyak Viktoria
Yagupov Igor,1,0,Yeritsyan Hayk
Tekeyev Zaur,0.5,0.5,Guliev Gasan
Kutsanyan Andranik,0,1,Boiarintsev Vitaly
Guerrero Sierra Juan Carlos,0.5,0.5,Chibukhchyan Erik
Demianjuk Alexander,0.5,0.5,Makoveev Ilya
Serikbay Assel,0,1,Borisenko Viacheslav
Tsybikov Tumen,1,0,Volovich Vasily
Martynyuk Elizaveta,1,0,Ter-Saakian Grigorii
Tarasov Oleg,0,1,Samadov Read
Ismagilov Damir,0.5,0.5,Salman Pavel
Khmelev Mikhail,0,1,Ageichenko Genadi A
Mestnikov Aital,0,1,Vasilyev Alexey
Pranizin Gennady,1,0,Ahmadov Orkhan
Dolsonov Ayusha,1,0,Ivanov Artem T.
Smaglov Konstantin,1,0,Marinskii Yurii
Marzano Carlo,1,0,Nuristani Iman
Bogaudinov Rushan,0,1,Navrodskiy Boris
Yangutov Aleksey,1,0,Kukelko Alexey
Odegov Artem,0.5,0.5,Nurgali Nazerke
Astafurov Arseniy,0,1,Dudin Gleb
Poliakov Artem,0,1,Varshini V
Zavialov Nikita A.,0,1,Zaika Daniil
Chumachenko Alexander,0.5,0.5,Lepaev Andrey
Lauda Alexandr,0,1,Marchuk Rostislav
Makarian Rudik,1,0,Buniatyan David
Efremov Vladislav,0,1,Priyanka K
Vinogradov Vladimir,0.5,0.5,Vrtiakova Anna
Ochirbat Lkhagvajamts,1,0,Proleiko Julian
Shoshin Kirill,0,1,Kholopov Alexander A.
Syrchikov Alexander,0,1,Kirillov Dmitry
Pogorelskikh Sergey,0.5,0.5,Mochalin Faddey
Ufimtsev Egor,0,1,Atakishiyev Elmar
Averyanov Grigori,1,0,Sibajeva Marija
Dzyga Artem,0,1,Pavlov Mark
Bujakevich Aleksandr,0.5,0.5,Kirushin Ivan
Vetokhin Ilia,1,0,Shuvalov Evgenij
Vysotskiy Oleg,0.5,0.5,Khelemendik Roman
Mrykhin Igor,1,0,Larina Marija
Sokolov Ilia,1,0,Burhanov Vassily
Shukh Nikolai,0,1,Nabaty Tamir
Lomasov Semen,1,0,Gaifullin Artur
Matinian Nikita,0.5,0.5,Samusenko Maksim
Afanasiev Nikita,1,0,Drygalov Andrey
Li Hong,0,1,Kokarev Dmitry
Vavulin Maksim,1,0,Sindarov Javokhir
Savchenko Boris,1,0,Ushenina Anna
Fakhrutdinov Timur,0.5,0.5,Boruchovsky Avital
Drygalov Sergey,0.5,0.5,Bocharov Ivan
Urazayev Arystanbek,0,1,Zakhartsov Vladimir
Lobanov Sergei,0,1,Harutjunyan Gevorg
Mammadzada Gunay,0.5,0.5,Frolyanov Dmitry
Timofeev Artyom,1,0,Gubajdullin Alexei
Levin Evgeny A.,0,1,Muradli Mahammad
Mozharov Mikhail,1,0,Beletsky Alexey
Murtazin Bulat,0,1,Tsydypov Zhamsaran
Palachev Petr,0.5,0.5,Ladva Ottomar
Sorokin Aleksey,0,1,Schekachikhin Maksim
Khegay Dmitriy,1,0,Malyshev Grigory
Nigmatov Ortik,0.5,0.5,Belyakov Bogdan
Gukesh D,0.5,0.5,Golubov Saveliy
Bryakin Mikhail,0.5,0.5,Khanin Semen
Sawlin Leonid,0,1,Dvalishvili Pavel S.
Rakshitta Ravi,0,1,Vokhidov Shamsiddin
Korchmar Vasiliy,1,0,Bykov Egor
Gorbatov Alexej,0.5,0.5,Murtazin Ruslan
Iljiushenok Ilia,1,0,Manafov Vugar
Erdenepurev Boldoo,1,0,Usmanov Vasily
Ivanov Oleg V,0.5,0.5,Babarykin Stanislav
Baghdasaryan Vahe,0,1,Lesovoi Evgenij
Faizrakhmanov Ramil,0,1,Davtyan Artur
Sakulo Denis,0.5,0.5,Kozionov Kirill
Yeritsyan Aram,0,1,Nozdrachev Leonid
Rodchenkov Vitaly,0,1,Yeletsky Ivan
Kardashevskiy Evgeny,0.5,0.5,Smirnov Timofey
Kalashian David,0,1,Avalyan Artur
Barseghyan Armen Ar.,0,1,Sanzhaev Darsen
Naumkin Igor,0,1,Shubin Kirill
Salemgareev Tagir,0,1,Hakobyan Hovhannes H.
Golikov Daniil,1,0,Sattarov Bobir
Tsoi Dmitry,0,1,Murzin Volodar
Karpenko Artem,1,0,Primbetov Kazbek
Sirosh Ilja,0,1,Fitiak Sergey
Zubkov Vsevolod,0.5,0.5,Taalaibekov Tagir
Shinkevich Vitaly,0.5,0.5,Shoboev Dandar
Korennoi Viktor,1,0,Oganian Miran
Geshko Aleksey,0.5,0.5,Zakaryan David
Rozanov Pavel B.,0,1,Yuferov Sergey N
Kukhmazov Arsen,0.5,0.5,Konaplev Anton
Ageichenko Genadi A,0,1,Yagupov Igor
Mamatov Melis,0,1,Assaubayeva Bibisara
Geivondian Arman,0.5,0.5,Tugarin Anton
Saiyn Zhanat,0.5,0.5,Gurvich Vitaly
Mukhutdinov Tigran,1,0,Garayev Kanan
Boiarintsev Vitaly,1,0,Aleksanyan Hrant
Tran Minh Thang,0.5,0.5,Pranizin Gennady
Kretov Evgenij,0,1,Cherepanov Vladislav
Skatchkov Valery,1,0,Dolsonov Ayusha
Ganerdene Sugar,0,1,Saydaliev Saidakbar
Borisenko Viacheslav,0,1,Kavyev Ruslan
Bykov Oleg,1,0,Tsybikov Tumen
Balajayeva Khanim,0.5,0.5,Smaglov Konstantin
Cherenkov Andrey,0,1,Pogosyan Stefan
Perov German,0,1,Uraev Ivan
Samadov Read,0,1,Martynyuk Elizaveta
Savenkov Konstantin,0.5,0.5,Vasilyev Alexey
Mischuk Dmitry,0.5,0.5,Guliev Gasan
Chernyak Viktoria,0,1,Tekeyev Zaur
Saveliev Alexei,0.5,0.5,Ivanov Platon-Jaan
Marchuk Rostislav,0,1,Guerrero Sierra Juan Carlos
Priyanka K,0.5,0.5,Demianjuk Alexander
Makoveev Ilya,1,0,Shapiro David
Nazaretyan Tigran,1,0,Ismagilov Damir
Rozhkov Viacheslav,1,0,Fedotov Alexey
Navrodskiy Boris,1,0,Marzano Carlo
Matyunin Maxim,0,1,Makarian Rudik
Suleymanli Aydin,1,0,Yangutov Aleksey
Salman Pavel,1,0,Gavrilin Roman
Zherebtsova Alexandra,0,1,Ochirbat Lkhagvajamts
Chibukhchyan Erik,0.5,0.5,Kesidis Odyseas
Dudin Gleb,0.5,0.5,Skorodelov Semen
Varshini V,0,1,Shaydullina Sandugach
Zaika Daniil,0.5,0.5,Volovich Vasily
Kholopov Alexander A.,0,1,Odegov Artem
Kirillov Dmitry,1,0,Tarasov Oleg
Ter-Saakian Grigorii,1,0,Mestnikov Aital
Marinskii Yurii,1,0,Chumachenko Alexander
Atakishiyev Elmar,0,1,Kutsanyan Andranik
Ivanov Artem T.,0,1,Serikbay Assel
Nurgali Nazerke,0.5,0.5,Vetokhin Ilia
Yeritsyan Hayk,1,0,Khmelev Mikhail
Lepaev Andrey,0.5,0.5,Vrtiakova Anna
Ahmadov Orkhan,0,1,Vinogradov Vladimir
Pavlov Mark,0.5,0.5,Averyanov Grigori
Nuristani Iman,1,0,Pogorelskikh Sergey
Bogaudinov Rushan,1,0,Bujakevich Aleksandr
Kukelko Alexey,1,0,Lauda Alexandr
Mochalin Faddey,0.5,0.5,Mrykhin Igor
Shoshin Kirill,0,1,Astafurov Arseniy
Buniatyan David,0,1,Poliakov Artem
Kirushin Ivan,0,1,Zavialov Nikita A.
Proleiko Julian,1,0,Sokolov Ilia
Ufimtsev Egor,1,0,Efremov Vladislav
Khelemendik Roman,0,1,Syrchikov Alexander
Sibajeva Marija,1,0,Vysotskiy Oleg
Larina Marija,0,1,Dzyga Artem
Burhanov Vassily,1,0,Shuvalov Evgenij
Nabaty Tamir,0,1,Lomasov Semen
Zakhartsov Vladimir,1,0,Afanasiev Nikita
Kokarev Dmitry,0.5,0.5,Vavulin Maksim
Samusenko Maksim,1,0,Savchenko Boris
Harutjunyan Gevorg,0.5,0.5,Matinian Nikita
Boruchovsky Avital,1,0,Shukh Nikolai
Dvalishvili Pavel S.,0,1,Timofeev Artyom
Vokhidov Shamsiddin,0,1,Mozharov Mikhail
Bocharov Ivan,0.5,0.5,Korchmar Vasiliy
Tsydypov Zhamsaran,0.5,0.5,Fakhrutdinov Timur
Muradli Mahammad,0,1,Khegay Dmitriy
Drygalov Andrey,1,0,Drygalov Sergey
Gaifullin Artur,1,0,Mammadzada Gunay
Schekachikhin Maksim,0.5,0.5,Golubov Saveliy
Frolyanov Dmitry,0,1,Gukesh D
Murtazin Ruslan,0,1,Ladva Ottomar
Avalyan Artur,0,1,Iljiushenok Ilia
Belyakov Bogdan,0,1,Bryakin Mikhail
Khanin Semen,1,0,Li Hong
Lesovoi Evgenij,0.5,0.5,Lobanov Sergei
Sindarov Javokhir,1,0,Hakobyan Hovhannes H.
Ushenina Anna,0,1,Urazayev Arystanbek
Nozdrachev Leonid,0,1,Murzin Volodar
Yeletsky Ivan,1,0,Erdenepurev Boldoo
Sanzhaev Darsen,0.5,0.5,Golikov Daniil
Davtyan Artur,1,0,Karpenko Artem
Shubin Kirill,0,1,Palachev Petr
Fitiak Sergey,0,1,Nigmatov Ortik
Saydaliev Saidakbar,0,1,Levin Evgeny A.
Bykov Egor,0,1,Sorokin Aleksey
Pogosyan Stefan,1,0,Ivanov Oleg V
Kozionov Kirill,1,0,Sawlin Leonid
Yuferov Sergey N,1,0,Zubkov Vsevolod
Uraev Ivan,0,1,Kardashevskiy Evgeny
Yagupov Igor,1,0,Bykov Oleg
Smirnov Timofey,0.5,0.5,Murtazin Bulat
Gubajdullin Alexei,0,1,Sakulo Denis
Assaubayeva Bibisara,1,0,Martynyuk Elizaveta
Korennoi Viktor,1,0,Mukhutdinov Tigran
Kavyev Ruslan,0.5,0.5,Beletsky Alexey
Taalaibekov Tagir,1,0,Boiarintsev Vitaly
Manafov Vugar,0,1,Malyshev Grigory
Cherepanov Vladislav,0,1,Rakshitta Ravi
Shoboev Dandar,0,1,Skatchkov Valery
Usmanov Vasily,0,1,Rodchenkov Vitaly
Konaplev Anton,0.5,0.5,Shinkevich Vitaly
Tugarin Anton,0,1,Baghdasaryan Vahe
Primbetov Kazbek,0.5,0.5,Faizrakhmanov Ramil
Zakaryan David,1,0,Barseghyan Armen Ar.
Pranizin Gennady,0,1,Kukhmazov Arsen
Gurvich Vitaly,0,1,Kalashian David
Shaydullina Sandugach,0,1,Naumkin Igor
Makoveev Ilya,0.5,0.5,Salemgareev Tagir
Sattarov Bobir,1,0,Nazaretyan Tigran
Makarian Rudik,0,1,Geivondian Arman
Tekeyev Zaur,1,0,Rozhkov Viacheslav
Navrodskiy Boris,0.5,0.5,Saiyn Zhanat
Tsoi Dmitry,1,0,Geshko Aleksey
Smaglov Konstantin,0,1,Tran Minh Thang
Vasilyev Alexey,0,1,Sirosh Ilja
Guerrero Sierra Juan Carlos,0.5,0.5,Suleymanli Aydin
Ochirbat Lkhagvajamts,0.5,0.5,Balajayeva Khanim
Yeritsyan Aram,1,0,Salman Pavel
Kutsanyan Andranik,0,1,Savenkov Konstantin
Ganerdene Sugar,0.5,0.5,Mischuk Dmitry
Serikbay Assel,0,1,Saveliev Alexei
Demianjuk Alexander,1,0,Cherenkov Andrey
Yeritsyan Hayk,0.5,0.5,Borisenko Viacheslav
Garayev Kanan,1,0,Priyanka K
Aleksanyan Hrant,0.5,0.5,Chibukhchyan Erik
Tsybikov Tumen,0.5,0.5,Rozanov Pavel B.
Kesidis Odyseas,1,0,Kirillov Dmitry
Skorodelov Semen,0.5,0.5,Ter-Saakian Grigorii
Ivanov Platon-Jaan,1,0,Ageichenko Genadi A
Vinogradov Vladimir,1,0,Mamatov Melis
Odegov Artem,1,0,Kretov Evgenij
Dolsonov Ayusha,0,1,Dudin Gleb
Perov German,0.5,0.5,Marinskii Yurii
Guliev Gasan,0.5,0.5,Zaika Daniil
Marzano Carlo,1,0,Samadov Read
Volovich Vasily,1,0,Marchuk Rostislav
Averyanov Grigori,0,1,Matyunin Maxim
Fedotov Alexey,0,1,Bogaudinov Rushan
Yangutov Aleksey,0.5,0.5,Chernyak Viktoria
Vetokhin Ilia,0.5,0.5,Kukelko Alexey
Vrtiakova Anna,0,1,Nurgali Nazerke
Astafurov Arseniy,0,1,Proleiko Julian
Poliakov Artem,0,1,Nuristani Iman
Zavialov Nikita A.,1,0,Varshini V
Pavlov Mark,1,0,Lepaev Andrey
Ismagilov Damir,0.5,0.5,Gavrilin Roman
Syrchikov Alexander,0.5,0.5,Mochalin Faddey
Kholopov Alexander A.,1,0,Khmelev Mikhail
Tarasov Oleg,1,0,Sibajeva Marija
Mestnikov Aital,0,1,Atakishiyev Elmar
Mrykhin Igor,0.5,0.5,Ivanov Artem T.
Chumachenko Alexander,0,1,Ufimtsev Egor
Dzyga Artem,1,0,Ahmadov Orkhan
Pogorelskikh Sergey,1,0,Shoshin Kirill
Sokolov Ilia,1,0,Bujakevich Aleksandr
Lauda Alexandr,1,0,Buniatyan David
Efremov Vladislav,1,0,Kirushin Ivan
Burhanov Vassily,1,0,Khelemendik Roman
Vysotskiy Oleg,1,0,Larina Marija
Lomasov Semen,1,0,Samusenko Maksim
Nabaty Tamir,1,0,Zakhartsov Vladimir
Khegay Dmitriy,0.5,0.5,Kokarev Dmitry
Vavulin Maksim,1,0,Drygalov Andrey
Timofeev Artyom,1,0,Gaifullin Artur
Afanasiev Nikita,1,0,Boruchovsky Avital
Mozharov Mikhail,0.5,0.5,Harutjunyan Gevorg
Matinian Nikita,0.5,0.5,Savchenko Boris
Palachev Petr,0.5,0.5,Bocharov Ivan
Nigmatov Ortik,0.5,0.5,Tsydypov Zhamsaran
Ladva Ottomar,0.5,0.5,Korchmar Vasiliy
Bryakin Mikhail,0.5,0.5,Iljiushenok Ilia
Murzin Volodar,0.5,0.5,Khanin Semen
Shukh Nikolai,1,0,Schekachikhin Maksim
Gukesh D,0,1,Sindarov Javokhir
Fakhrutdinov Timur,1,0,Davtyan Artur
Urazayev Arystanbek,0,1,Yeletsky Ivan
Levin Evgeny A.,1,0,Assaubayeva Bibisara
Sorokin Aleksey,1,0,Muradli Mahammad
Golubov Saveliy,1,0,Pogosyan Stefan
Lobanov Sergei,1,0,Korennoi Viktor
Malyshev Grigory,0,1,Kozionov Kirill
Skatchkov Valery,0.5,0.5,Dvalishvili Pavel S.
Mammadzada Gunay,1,0,Yuferov Sergey N
Drygalov Sergey,1,0,Lesovoi Evgenij
Sakulo Denis,0,1,Vokhidov Shamsiddin
Kardashevskiy Evgeny,1,0,Taalaibekov Tagir
Sanzhaev Darsen,1,0,Rakshitta Ravi
Golikov Daniil,1,0,Yagupov Igor
Karpenko Artem,0.5,0.5,Frolyanov Dmitry
Tran Minh Thang,1,0,Belyakov Bogdan
Baghdasaryan Vahe,1,0,Tsoi Dmitry
Rodchenkov Vitaly,0,1,Ushenina Anna
Li Hong,0.5,0.5,Zakaryan David
Sirosh Ilja,0.5,0.5,Nozdrachev Leonid
Kukhmazov Arsen,1,0,Murtazin Ruslan
Kalashian David,1,0,Smirnov Timofey
Naumkin Igor,0.5,0.5,Avalyan Artur
Murtazin Bulat,1,0,Yeritsyan Aram
Erdenepurev Boldoo,0,1,Sattarov Bobir
Geivondian Arman,0.5,0.5,Shubin Kirill
Hakobyan Hovhannes H.,0,1,Tekeyev Zaur
Beletsky Alexey,1,0,Fitiak Sergey
Ivanov Oleg V,1,0,Kavyev Ruslan
Shinkevich Vitaly,0.5,0.5,Uraev Ivan
Savenkov Konstantin,0.5,0.5,Konaplev Anton
Faizrakhmanov Ramil,1,0,Garayev Kanan
Balajayeva Khanim,1,0,Gubajdullin Alexei
Salemgareev Tagir,1,0,Primbetov Kazbek
Saiyn Zhanat,1,0,Makoveev Ilya
Mukhutdinov Tigran,0.5,0.5,Kesidis Odyseas
Saveliev Alexei,1,0,Manafov Vugar
Boiarintsev Vitaly,0,1,Ivanov Platon-Jaan
Cherepanov Vladislav,1,0,Vinogradov Vladimir
Martynyuk Elizaveta,0,1,Saydaliev Saidakbar
Suleymanli Aydin,0.5,0.5,Bykov Egor
Guerrero Sierra Juan Carlos,1,0,Navrodskiy Boris
Sawlin Leonid,1,0,Odegov Artem
Dudin Gleb,0,1,Demianjuk Alexander
Zubkov Vsevolod,0,1,Shoboev Dandar
Bykov Oleg,1,0,Ochirbat Lkhagvajamts
Marinskii Yurii,0,1,Usmanov Vasily
Mischuk Dmitry,1,0,Shaydullina Sandugach
Borisenko Viacheslav,0.5,0.5,Guliev Gasan
Volovich Vasily,0,1,Ganerdene Sugar
Barseghyan Armen Ar.,0.5,0.5,Tsybikov Tumen
Nazaretyan Tigran,1,0,Yeritsyan Hayk
Rozhkov Viacheslav,1,0,Zavialov Nikita A.
Nurgali Nazerke,1,0,Marzano Carlo
Chibukhchyan Erik,0.5,0.5,Tugarin Anton
Matyunin Maxim,0,1,Perov German
Geshko Aleksey,0.5,0.5,Makarian Rudik
Proleiko Julian,1,0,Gurvich Vitaly
Salman Pavel,1,0,Smaglov Konstantin
Nuristani Iman,0.5,0.5,Aleksanyan Hrant
Rozanov Pavel B.,0.5,0.5,Vasilyev Alexey
Zaika Daniil,0,1,Skorodelov Semen
Ter-Saakian Grigorii,1,0,Pranizin Gennady
Ageichenko Genadi A,0.5,0.5,Pavlov Mark
Priyanka K,0,1,Kholopov Alexander A.
Ufimtsev Egor,0.5,0.5,Tarasov Oleg
Mamatov Melis,0,1,Ismagilov Damir
Kretov Evgenij,1,0,Yangutov Aleksey
Kirillov Dmitry,0.5,0.5,Dolsonov Ayusha
Samadov Read,0.5,0.5,Kutsanyan Andranik
Chernyak Viktoria,1,0,Dzyga Artem
Gavrilin Roman,0.5,0.5,Kukelko Alexey
Atakishiyev Elmar,0.5,0.5,Serikbay Assel
Cherenkov Andrey,1,0,Vetokhin Ilia
Averyanov Grigori,0,1,Syrchikov Alexander
Varshini V,1,0,Pogorelskikh Sergey
Efremov Vladislav,1,0,Mrykhin Igor
Mochalin Faddey,0.5,0.5,Astafurov Arseniy
Poliakov Artem,1,0,Lauda Alexandr
Lepaev Andrey,1,0,Sokolov Ilia
Marchuk Rostislav,0.5,0.5,Vrtiakova Anna
Ivanov Artem T.,0,1,Fedotov Alexey
Khmelev Mikhail,1,0,Vysotskiy Oleg
Sibajeva Marija,0,1,Mestnikov Aital
Ahmadov Orkhan,0,1,Chumachenko Alexander
Bujakevich Aleksandr,0,1,Burhanov Vassily
Shuvalov Evgenij,1,0,Buniatyan David
Kirushin Ivan,0,1,Shoshin Kirill
Khelemendik Roman,1,0,Larina Marija
