name1,score1,score2,name2
Khegay Dmitriy,0.5,0.5,Palachev Petr
Afanasiev Nikita,1,0,Matinian Nikita
Belyakov Bogdan,1,0,Boiarintsev Vitaly
Malyshev Grigory,1,0,Golubov Saveliy
Usmanov Vasily,0,1,Tran Minh Thang
Gukesh D,0.5,0.5,Zakhartsov Vladimir
Khanin Semen,0,1,Urazayev Arystanbek
Tarasov Alexandr,0.5,0.5,Shinkevich Vitaly
Ivanov Oleg V,1,0,Sawlin Leonid
Saydaliev Saidakbar,0.5,0.5,Lobanov Sergei
Drygalov Andrey,0.5,0.5,Mammadzada Gunay
Bykov Egor,0.5,0.5,Baghdasaryan Vahe
Shukh Nikolai,1,0,Zubkov Vsevolod
Sindarov Javokhir,1,0,Borisenko Viacheslav
Ushenina Anna,0.5,0.5,Erdenepurev Boldoo
Demianjuk Alexander,0.5,0.5,Faizrakhmanov Ramil
Kozionov Kirill,1,0,Bykov Oleg
Babarykin Stanislav,0,1,Gaifullin Artur
Samusenko Maksim,1,0,Sakulo Denis
Zakaryan David,0,1,Balajayeva Khanim
Shapiro David,0,1,Fakhrutdinov Timur
Nozdrachev Leonid,0.5,0.5,Lesovoi Evgenij
Smirnov Timofey,0,1,Harutjunyan Gevorg
Yeletsky Ivan,1,0,Tsybikov Tumen
Vokhidov Shamsiddin,1,0,Cherenkov Andrey
Davtyan Artur,0.5,0.5,Kardashevskiy Evgeny
Marchuk Rostislav,0.5,0.5,Korchmar Vasiliy
Proleiko Julian,0.5,0.5,Gorbatov Alexej
Kokarev Dmitry,1,0,Perov German
Korennoi Viktor,0.5,0.5,Grachev Boris
Bocharov Ivan,1,0,Rodchenkov Vitaly
Kholopov Alexander A.,0,1,Oganian Miran
Skorodelov Semen,0,1,Savenkov Konstantin
Mestnikov Aital,1,0,Ofitserian Boris
Dvalishvili Pavel S.,1,0,Hakobyan Hovhannes H.
Yuferov Sergey N,0.5,0.5,Barseghyan Armen Ar.
Dolsonov Ayusha,0,1,Drygalov Sergey
Taalaibekov Tagir,1,0,Kukhmazov Arsen
Efanov Nikolai,1,0,Kavyev Ruslan
Ganerdene Sugar,0,1,Kalashian David
Ter-Saakian Grigorii,0,1,Naumkin Igor
Assaubayeva Bibisara,1,0,Kukelko Alexey
Muradli Mahammad,1,0,Lepaev Andrey
Astafurov Arseniy,0,1,Karpov Vadim
Nigmatov Ortik,1,0,Chibukhchyan Erik
Vetokhin Ilia,0,1,Skatchkov Valery
Bryakin Mikhail,1,0,Mochalin Faddey
Lauda Alexandr,0,1,Li Hong
Smaglov Konstantin,0.5,0.5,Sirosh Ilja
Guerrero Sierra Juan Carlos,0.5,0.5,Zaika Daniil
Murtazin Ruslan,1,0,Khmelev Mikhail
Avalyan Artur,1,0,Larina Marija
Pogosyan Stefan,0,1,Rakshitta Ravi
Syrchikov Alexander,0.5,0.5,Buniatyan David
Yagupov Igor,0,1,Makoveev Ilya
Sattarov Bobir,0.5,0.5,Manafov Vugar
Beletsky Alexey,1,0,Serikbay Assel
Cherepanov Vladislav,1,0,Mrykhin Igor
Ivanov Platon-Jaan,0.5,0.5,Yeritsyan Aram
Zavialov Nikita A.,0.5,0.5,Volovich Vasily
Uraev Ivan,0,1,Nurgali Nazerke
Ismagilov Damir,0.5,0.5,Kovalev Egor
Shubin Kirill,1,0,Yeritsyan Hayk
Fedotov Alexey,0,1,Nazaretyan Tigran
Martynyuk Elizaveta,0,1,Poliakov Artem
Ufimtsev Egor,0,1,Rozhkov Viacheslav
Konaplev Anton,0.5,0.5,Makarian Rudik
Marzano Carlo,0.5,0.5,Priyanka K
Vinogradov Vladimir,0,1,Murzin Volodar
Tugarin Anton,0.5,0.5,Yangutov Aleksey
Averyanov Grigori,0,1,Tarasov Oleg
Primbetov Kazbek,1,0,Nuristani Iman
Dzyga Artem,0,1,Matyunin Maxim
Garayev Kanan,0.5,0.5,Navrodskiy Boris
Bujakevich Aleksandr,0,1,Geshko Aleksey
Gurvich Vitaly,1,0,Kirillov Dmitry
Odegov Artem,0.5,0.5,Suleymanli Aydin
Salman Pavel,1,0,Varshini V
Dudin Gleb,0.5,0.5,Zherebtsova Alexandra
Aleksanyan Hrant,1,0,Khelemendik Roman
Chumachenko Alexander,1,0,Vysotskiy Oleg
Fitiak Sergey,0.5,0.5,Samadov Read
Efremov Vladislav,0,1,Rozanov Pavel B.
Kesidis Odyseas,1,0,Vrtiakova Anna
Shoboev Dandar,1,0,Shuvalov Evgenij
Vasilyev Alexey,0,1,Ageichenko Genadi A
Burhanov Vassily,0,1,Mamatov Melis
Pogorelskikh Sergey,1,0,Sibajeva Marija
Gavrilin Roman,0.5,0.5,Golikov Daniil
Pranizin Gennady,0,1,Shoshin Kirill
Atakishiyev Elmar,0,1,Kretov Evgenij
Pavlov Mark,0,1,Marinskii Yurii
Shaydullina Sandugach,1,0,Ivanov Artem T.
Sokolov Ilia,0,1,Bogaudinov Rushan
Kirushin Ivan,0,1,Guliev Gasan
Kutsanyan Andranik,1,0,Ochirbat Lkhagvajamts
Ahmadov Orkhan,0,1,Chernyak Viktoria
Gaifullin Artur,0,1,Nabaty Tamir
Vavulin Maksim,1,0,Samusenko Maksim
Fakhrutdinov Timur,0.5,0.5,Frolyanov Dmitry
Savchenko Boris,1,0,Yeletsky Ivan
Lomasov Semen,0.5,0.5,Vokhidov Shamsiddin
Harutjunyan Gevorg,0.5,0.5,Tsydypov Zhamsaran
Schekachikhin Maksim,1,0,Iljiushenok Ilia
Afanasiev Nikita,0.5,0.5,Belyakov Bogdan
Malyshev Grigory,1,0,Ivanov Oleg V
Tran Minh Thang,0,1,Shukh Nikolai
Urazayev Arystanbek,0.5,0.5,Sindarov Javokhir
Balajayeva Khanim,0.5,0.5,Kozionov Kirill
Salemgareev Tagir,0,1,Kokarev Dmitry
Timofeev Artyom,1,0,Geivondian Arman
Levin Evgeny A.,1,0,Tekeyev Zaur
Palachev Petr,1,0,Boruchovsky Avital
Mozharov Mikhail,1,0,Muradli Mahammad
Saiyn Zhanat,0,1,Bocharov Ivan
Sorokin Aleksey,0.5,0.5,Nigmatov Ortik
Karpov Vadim,0,1,Khegay Dmitriy
Zakhartsov Vladimir,1,0,Karpenko Artem
Shinkevich Vitaly,0.5,0.5,Gukesh D
Lobanov Sergei,1,0,Tarasov Alexandr
Skatchkov Valery,0,1,Drygalov Andrey
Baghdasaryan Vahe,0,1,Bryakin Mikhail
Oganian Miran,0.5,0.5,Saydaliev Saidakbar
Savenkov Konstantin,0,1,Bykov Egor
Li Hong,1,0,Ushenina Anna
Faizrakhmanov Ramil,0.5,0.5,Murtazin Ruslan
Mammadzada Gunay,0.5,0.5,Dvalishvili Pavel S.
Drygalov Sergey,0.5,0.5,Demianjuk Alexander
Erdenepurev Boldoo,1,0,Nozdrachev Leonid
Kardashevskiy Evgeny,1,0,Avalyan Artur
Lesovoi Evgenij,0.5,0.5,Efanov Nikolai
Korchmar Vasiliy,1,0,Davtyan Artur
Gorbatov Alexej,1,0,Mestnikov Aital
Kalashian David,1,0,Taalaibekov Tagir
Naumkin Igor,1,0,Marchuk Rostislav
Rakshitta Ravi,0.5,0.5,Assaubayeva Bibisara
Grachev Boris,1,0,Proleiko Julian
Ladva Ottomar,1,0,Murzin Volodar
Matinian Nikita,1,0,Tarasov Oleg
Matyunin Maxim,0,1,Golubov Saveliy
Geshko Aleksey,0,1,Usmanov Vasily
Rozanov Pavel B.,0,1,Khanin Semen
Ageichenko Genadi A,0,1,Zakaryan David
Mamatov Melis,0,1,Yuferov Sergey N
Kretov Evgenij,0.5,0.5,Sanzhaev Darsen
Murtazin Bulat,1,0,Primbetov Kazbek
Marinskii Yurii,0,1,Gubajdullin Alexei
Mischuk Dmitry,0.5,0.5,Gurvich Vitaly
Bogaudinov Rushan,0,1,Mukhutdinov Tigran
Guliev Gasan,0.5,0.5,Beletsky Alexey
Saveliev Alexei,0.5,0.5,Salman Pavel
Tsoi Dmitry,0.5,0.5,Aleksanyan Hrant
Boiarintsev Vitaly,0,1,Kesidis Odyseas
Chernyak Viktoria,1,0,Cherepanov Vladislav
Sirosh Ilja,1,0,Pogorelskikh Sergey
Makoveev Ilya,0,1,Guerrero Sierra Juan Carlos
Sawlin Leonid,1,0,Shaydullina Sandugach
Zubkov Vsevolod,0,1,Kutsanyan Andranik
Borisenko Viacheslav,1,0,Tsybikov Tumen
Nurgali Nazerke,0,1,Babarykin Stanislav
Cherenkov Andrey,1,0,Shapiro David
Bykov Oleg,1,0,Poliakov Artem
Perov German,0,1,Smirnov Timofey
Sakulo Denis,0.5,0.5,Chumachenko Alexander
Zaika Daniil,0.5,0.5,Shubin Kirill
Barseghyan Armen Ar.,1,0,Smaglov Konstantin
Nazaretyan Tigran,0,1,Shoboev Dandar
Rozhkov Viacheslav,0.5,0.5,Shoshin Kirill
Buniatyan David,0,1,Korennoi Viktor
Ofitserian Boris,0,1,Ganerdene Sugar
Kukhmazov Arsen,1,0,Astafurov Arseniy
Manafov Vugar,1,0,Syrchikov Alexander
Kukelko Alexey,1,0,Sattarov Bobir
Lepaev Andrey,1,0,Pogosyan Stefan
Yeritsyan Aram,1,0,Zavialov Nikita A.
Volovich Vasily,0,1,Ivanov Platon-Jaan
Makarian Rudik,1,0,Kholopov Alexander A.
Rodchenkov Vitaly,0.5,0.5,Ismagilov Damir
Kovalev Egor,0,1,Odegov Artem
Priyanka K,0,1,Konaplev Anton
Hakobyan Hovhannes H.,1,0,Ter-Saakian Grigorii
Chibukhchyan Erik,1,0,Marzano Carlo
Navrodskiy Boris,1,0,Tugarin Anton
Yangutov Aleksey,0,1,Garayev Kanan
Suleymanli Aydin,1,0,Dudin Gleb
Zherebtsova Alexandra,1,0,Vetokhin Ilia
Mochalin Faddey,0,1,Fitiak Sergey
Samadov Read,0.5,0.5,Skorodelov Semen
Golikov Daniil,1,0,Lauda Alexandr
Khmelev Mikhail,0,1,Dolsonov Ayusha
Kavyev Ruslan,1,0,Gavrilin Roman
Larina Marija,0,1,Yagupov Igor
Kirillov Dmitry,0,1,Uraev Ivan
Varshini V,1,0,Martynyuk Elizaveta
Vysotskiy Oleg,0,1,Efremov Vladislav
Shuvalov Evgenij,0,1,Vasilyev Alexey
Khelemendik Roman,0,1,Pranizin Gennady
Serikbay Assel,1,0,Burhanov Vassily
Mrykhin Igor,0.5,0.5,Atakishiyev Elmar
Yeritsyan Hayk,0,1,Pavlov Mark
Vrtiakova Anna,0,1,Fedotov Alexey
Sibajeva Marija,1,0,Ufimtsev Egor
Ivanov Artem T.,1,0,Vinogradov Vladimir
Sokolov Ilia,0,1,Averyanov Grigori
Kirushin Ivan,0,1,Dzyga Artem
Nuristani Iman,1,0,Ahmadov Orkhan
Ochirbat Lkhagvajamts,0,1,Bujakevich Aleksandr
Nabaty Tamir,1,0,Schekachikhin Maksim
Shukh Nikolai,1,0,Vavulin Maksim
Malyshev Grigory,0,1,Savchenko Boris
Kokarev Dmitry,0.5,0.5,Fakhrutdinov Timur
Frolyanov Dmitry,0.5,0.5,Harutjunyan Gevorg
Vokhidov Shamsiddin,0.5,0.5,Timofeev Artyom
Kardashevskiy Evgeny,0.5,0.5,Levin Evgeny A.
Korchmar Vasiliy,0,1,Mozharov Mikhail
Bocharov Ivan,1,0,Gorbatov Alexej
Kalashian David,0.5,0.5,Lomasov Semen
Tsydypov Zhamsaran,1,0,Naumkin Igor
Khegay Dmitriy,0,1,Afanasiev Nikita
Belyakov Bogdan,0.5,0.5,Palachev Petr
Bryakin Mikhail,1,0,Zakhartsov Vladimir
Bykov Egor,0.5,0.5,Lobanov Sergei
Drygalov Andrey,0.5,0.5,Li Hong
Sindarov Javokhir,1,0,Erdenepurev Boldoo
Kozionov Kirill,0,1,Urazayev Arystanbek
Iljiushenok Ilia,0.5,0.5,Balajayeva Khanim
Nigmatov Ortik,0,1,Grachev Boris
Saydaliev Saidakbar,0,1,Ladva Ottomar
Guerrero Sierra Juan Carlos,0,1,Sorokin Aleksey
Murtazin Ruslan,0,1,Matinian Nikita
Golubov Saveliy,1,0,Tran Minh Thang
Usmanov Vasily,0.5,0.5,Gukesh D
Khanin Semen,0.5,0.5,Sirosh Ilja
Demianjuk Alexander,0,1,Shinkevich Vitaly
Ivanov Oleg V,0,1,Mammadzada Gunay
Babarykin Stanislav,1,0,Oganian Miran
Smirnov Timofey,0.5,0.5,Faizrakhmanov Ramil
Korennoi Viktor,0,1,Gaifullin Artur
Samusenko Maksim,1,0,Sawlin Leonid
Zakaryan David,1,0,Borisenko Viacheslav
Dvalishvili Pavel S.,1,0,Bykov Oleg
Yuferov Sergey N,0,1,Lesovoi Evgenij
Kesidis Odyseas,0,1,Drygalov Sergey
Yeletsky Ivan,0.5,0.5,Barseghyan Armen Ar.
Efanov Nikolai,0.5,0.5,Chernyak Viktoria
Kutsanyan Andranik,0,1,Murtazin Bulat
Gubajdullin Alexei,0,1,Rakshitta Ravi
Assaubayeva Bibisara,0,1,Cherenkov Andrey
Shoboev Dandar,1,0,Mukhutdinov Tigran
Boruchovsky Avital,1,0,Suleymanli Aydin
Garayev Kanan,0,1,Baghdasaryan Vahe
Gurvich Vitaly,0.5,0.5,Savenkov Konstantin
Ushenina Anna,1,0,Zherebtsova Alexandra
Nozdrachev Leonid,1,0,Golikov Daniil
Salman Pavel,0.5,0.5,Kukhmazov Arsen
Sanzhaev Darsen,0.5,0.5,Kavyev Ruslan
Aleksanyan Hrant,1,0,Mischuk Dmitry
Fitiak Sergey,0,1,Salemgareev Tagir
Mestnikov Aital,0,1,Geivondian Arman
Tekeyev Zaur,0,1,Kretov Evgenij
Dolsonov Ayusha,0.5,0.5,Saiyn Zhanat
Muradli Mahammad,1,0,Guliev Gasan
Beletsky Alexey,0.5,0.5,Ganerdene Sugar
Taalaibekov Tagir,1,0,Saveliev Alexei
Manafov Vugar,0.5,0.5,Tsoi Dmitry
Karpenko Artem,1,0,Kukelko Alexey
Ivanov Platon-Jaan,1,0,Karpov Vadim
Tarasov Alexandr,1,0,Lepaev Andrey
Makarian Rudik,0,1,Skatchkov Valery
Navrodskiy Boris,0,1,Sakulo Denis
Avalyan Artur,1,0,Marchuk Rostislav
Odegov Artem,0,1,Yeritsyan Aram
Davtyan Artur,0.5,0.5,Chibukhchyan Erik
Shubin Kirill,1,0,Proleiko Julian
Chumachenko Alexander,0,1,Rozhkov Viacheslav
Konaplev Anton,1,0,Zaika Daniil
Shoshin Kirill,0,1,Hakobyan Hovhannes H.
Yagupov Igor,0.5,0.5,Bogaudinov Rushan
Serikbay Assel,1,0,Boiarintsev Vitaly
Cherepanov Vladislav,0.5,0.5,Makoveev Ilya
Tsybikov Tumen,0,1,Zubkov Vsevolod
Shapiro David,0.5,0.5,Nurgali Nazerke
Poliakov Artem,0.5,0.5,Rodchenkov Vitaly
Uraev Ivan,1,0,Ismagilov Damir
Averyanov Grigori,0,1,Nazaretyan Tigran
Murzin Volodar,0.5,0.5,Nuristani Iman
Tarasov Oleg,0,1,Perov German
Primbetov Kazbek,0.5,0.5,Varshini V
