0.207868358,0.791549863,0.000581779,,,Grad,Curl,Harm
0.177085859,0.822737624,0.000176517,,Actual,0.351773796,0.645027536,0.003158542
0.207978618,0.790823876,0.001197505,,Mean,0.21234494,0.786957785,0.000697275
0.310319193,0.688807872,0.000872934,,Stdev,0.044149948,0.044294225,0.000396516
0.141937407,0.857827817,0.000234776,,,,,
0.28034015,0.719450069,0.000209781,,,,,
0.232636527,0.766587321,0.000776151,,,,,
0.19816673,0.800918561,0.000914709,,,,,
0.216025383,0.783496571,0.000478046,,,,,
0.21236989,0.786991478,0.000638632,,,,,
0.187867691,0.811777199,0.00035511,,,,,
0.22374977,0.774771903,0.001478327,,,,,
0.135184481,0.864310957,0.000504563,,,,,
0.164208883,0.83509614,0.000694976,,,,,
0.182207805,0.816956761,0.000835434,,,,,
0.173147108,0.826328217,0.000524675,,,,,
0.238505425,0.760564802,0.000929773,,,,,
0.22875067,0.770634208,0.000615122,,,,,
0.156214261,0.843348107,0.000437632,,,,,
0.259222328,0.739692543,0.001085129,,,,,
0.2304936,0.769137156,0.000369244,,,,,
0.22129535,0.77721925,0.0014854,,,,,
0.16568208,0.833606736,0.000711184,,,,,
0.200466714,0.798813493,0.000719793,,,,,
0.232527421,0.767141414,0.000331165,,,,,
0.22387418,0.775879699,0.000246121,,,,,
0.140654611,0.859098619,0.00024677,,,,,
0.138912986,0.860304259,0.000782755,,,,,
0.261330079,0.738219182,0.00045074,,,,,
0.203766128,0.795822341,0.000411531,,,,,
0.181981295,0.817496621,0.000522085,,,,,
0.243572557,0.755890842,0.000536601,,,,,
0.19538534,0.803877603,0.000737058,,,,,
0.130290783,0.869288179,0.000421038,,,,,
0.280235055,0.718790039,0.000974906,,,,,
0.266257635,0.732448832,0.001293533,,,,,
0.178807346,0.820920942,0.000271712,,,,,
0.166308551,0.833464646,0.000226804,,,,,
0.118472423,0.881219772,0.000307806,,,,,
0.286514613,0.71262533,0.000860056,,,,,
0.268871728,0.729305233,0.001823039,,,,,
0.284808602,0.714264385,0.000927013,,,,,
0.230285814,0.769270989,0.000443196,,,,,
0.211236472,0.787376948,0.00138658,,,,,
0.105269061,0.894485683,0.000245256,,,,,
0.237772993,0.761876191,0.000350816,,,,,
0.307873986,0.691451968,0.000674047,,,,,
0.230188144,0.76960679,0.000205067,,,,,
0.195526877,0.804066962,0.000406161,,,,,
0.152543661,0.847191159,0.00026518,,,,,
0.224039261,0.775666175,0.000294564,,,,,
0.168258935,0.83140068,0.000340384,,,,,
0.227915669,0.770856562,0.001227769,,,,,
0.256549953,0.743195253,0.000254794,,,,,
0.174383565,0.825307962,0.000308473,,,,,
0.216753564,0.782287136,0.0009593,,,,,
0.200987897,0.798748202,0.000263902,,,,,
0.242068757,0.757500433,0.00043081,,,,,
0.185555495,0.813734655,0.00070985,,,,,
0.247074245,0.752395431,0.000530324,,,,,
0.203096217,0.796528535,0.000375248,,,,,
0.210190449,0.789003597,0.000805954,,,,,
0.188675125,0.810961789,0.000363086,,,,,
0.170256857,0.829032856,0.000710287,,,,,
0.132810797,0.866511641,0.000677562,,,,,
0.193483144,0.80608662,0.000430236,,,,,
0.176274781,0.822925042,0.000800177,,,,,
0.16496946,0.834604876,0.000425664,,,,,
0.181493896,0.818214441,0.000291662,,,,,
0.202745526,0.796876652,0.000377822,,,,,
0.168910713,0.830629462,0.000459825,,,,,
0.158819025,0.840953249,0.000227725,,,,,
0.132542759,0.867094262,0.000362979,,,,,
0.231425862,0.767509384,0.001064754,,,,,
0.226127436,0.772873783,0.000998782,,,,,
0.212958599,0.786519336,0.000522066,,,,,
0.224661948,0.77496493,0.000373123,,,,,
0.272885103,0.726310356,0.000804542,,,,,
0.159723337,0.839729561,0.000547101,,,,,
0.263766961,0.73573762,0.000495419,,,,,
0.239871435,0.759482772,0.000645793,,,,,
0.185931028,0.812777416,0.001291557,,,,,
0.255384343,0.743096109,0.001519548,,,,,
0.297930773,0.701087937,0.00098129,,,,,
0.194374814,0.804580422,0.001044764,,,,,
0.199180112,0.800305759,0.000514129,,,,,
0.269175704,0.73002662,0.000797676,,,,,
0.238067026,0.76121383,0.000719145,,,,,
0.236207196,0.763401461,0.000391342,,,,,
0.178752617,0.820316789,0.000930594,,,,,
0.19626978,0.803158955,0.000571265,,,,,
0.209035342,0.789754201,0.001210458,,,,,
0.265113569,0.734399853,0.000486578,,,,,
0.187598066,0.812177438,0.000224495,,,,,
0.18494124,0.814308436,0.000750324,,,,,
0.220556291,0.77815073,0.001292979,,,,,
0.246234295,0.752738475,0.00102723,,,,,
0.1754696,0.823397225,0.001133175,,,,,
0.264912872,0.734349659,0.00073747,,,,,
0.229885307,0.768613328,0.001501365,,,,,
0.265024327,0.734270466,0.000705207,,,,,
0.221195667,0.778104058,0.000700276,,,,,
0.258426873,0.741073476,0.000499651,,,,,
0.137635791,0.861516117,0.000848092,,,,,
0.137589641,0.862000368,0.00040999,,,,,
0.255178248,0.744556384,0.000265368,,,,,
0.186158116,0.812707275,0.001134609,,,,,
0.201300003,0.798391053,0.000308943,,,,,
0.201220642,0.798207482,0.000571876,,,,,
0.255960258,0.743108065,0.000931677,,,,,
0.24608736,0.753677055,0.000235585,,,,,
0.200124157,0.798698169,0.001177674,,,,,
0.211086166,0.788067103,0.000846731,,,,,
0.291958094,0.706809233,0.001232673,,,,,
0.207740726,0.79132241,0.000936864,,,,,
0.316548775,0.681519556,0.00193167,,,,,
0.18523124,0.814126376,0.000642383,,,,,
0.239139833,0.759482939,0.001377228,,,,,
0.133193175,0.866306524,0.000500301,,,,,
0.218408667,0.78137926,0.000212073,,,,,
0.369589534,0.629039425,0.001371041,,,,,
0.20647441,0.793213652,0.000311938,,,,,
0.190391976,0.809409193,0.000198831,,,,,
0.174080678,0.825760618,0.000158703,,,,,
0.272330434,0.726797207,0.000872359,,,,,
0.208328146,0.791220698,0.000451156,,,,,
0.173281594,0.826272583,0.000445823,,,,,
0.221095337,0.778346187,0.000558476,,,,,
0.286114877,0.713007042,0.000878081,,,,,
0.223333069,0.776078018,0.000588914,,,,,
0.243929602,0.753992397,0.002078,,,,,
0.162076937,0.83772885,0.000194213,,,,,
0.204635305,0.794877154,0.000487541,,,,,
0.284926032,0.713866384,0.001207584,,,,,
0.181389206,0.818292294,0.0003185,,,,,
0.220648111,0.778920357,0.000431532,,,,,
0.202598553,0.796862446,0.000539001,,,,,
0.223957578,0.775751295,0.000291127,,,,,
0.176106704,0.823534485,0.00035881,,,,,
0.191183755,0.808411228,0.000405017,,,,,
0.187772838,0.811755518,0.000471644,,,,,
0.269392571,0.729869491,0.000737938,,,,,
0.163860255,0.835803868,0.000335877,,,,,
0.182219828,0.817609521,0.000170651,,,,,
0.257320626,0.742288872,0.000390502,,,,,
0.18748975,0.811360792,0.001149458,,,,,
0.227844899,0.771250742,0.00090436,,,,,
0.18763936,0.811365404,0.000995237,,,,,
0.226303076,0.773159399,0.000537525,,,,,
0.202365305,0.796574863,0.001059832,,,,,
0.213424993,0.786305304,0.000269703,,,,,
0.209529097,0.789153022,0.001317881,,,,,
0.239054181,0.760282922,0.000662897,,,,,
0.259413349,0.740045224,0.000541427,,,,,
0.166601596,0.831931677,0.001466726,,,,,
0.174076702,0.825676138,0.00024716,,,,,
0.29368214,0.705008446,0.001309414,,,,,
0.198763363,0.800992842,0.000243794,,,,,
0.226199107,0.772805911,0.000994982,,,,,
0.260387301,0.739038292,0.000574407,,,,,
0.173475467,0.826129185,0.000395349,,,,,
0.174047103,0.824801497,0.0011514,,,,,
0.243180446,0.754801023,0.002018531,,,,,
0.20455809,0.794536855,0.000905055,,,,,
0.312180493,0.687416841,0.000402666,,,,,
0.243183712,0.755194079,0.001622209,,,,,
0.203922385,0.795120193,0.000957422,,,,,
0.295188301,0.704406007,0.000405693,,,,,
0.173981425,0.825182117,0.000836458,,,,,
0.21755145,0.781578298,0.000870251,,,,,
0.211791499,0.786998812,0.001209689,,,,,
0.116642694,0.882976291,0.000381015,,,,,
0.273654494,0.725724365,0.000621141,,,,,
0.170094646,0.829085888,0.000819466,,,,,
0.196918886,0.802603128,0.000477986,,,,,
0.2894304,0.709648593,0.000921007,,,,,
0.184828657,0.814573745,0.000597598,,,,,
0.220851352,0.77807424,0.001074408,,,,,
0.204579566,0.794586763,0.000833671,,,,,
0.238448161,0.761086317,0.000465523,,,,,
0.203278215,0.796056485,0.0006653,,,,,
0.189941337,0.809589062,0.000469601,,,,,
0.19402712,0.805585348,0.000387533,,,,,
0.202849007,0.796793948,0.000357045,,,,,
0.194868033,0.804732981,0.000398986,,,,,
0.189761932,0.809324778,0.00091329,,,,,
0.244847074,0.754132662,0.001020264,,,,,
0.210286121,0.789437637,0.000276243,,,,,
0.206918996,0.792555945,0.000525059,,,,,
0.190905016,0.808408998,0.000685986,,,,,
0.211384845,0.788260735,0.000354421,,,,,
0.160259912,0.839206351,0.000533737,,,,,
0.196955344,0.802234921,0.000809735,,,,,
0.269705467,0.728728098,0.001566435,,,,,
0.176806146,0.822391268,0.000802586,,,,,
0.179728305,0.819782366,0.00048933,,,,,
0.197723871,0.801124042,0.001152087,,,,,
0.263304188,0.735966129,0.000729683,,,,,
0.12671376,0.872760977,0.000525263,,,,,
0.271904781,0.726645897,0.001449323,,,,,
